feature,dissatisfaction,satisfaction,neutral,frequency
last time,0.10813352574068034,0.004660927833650014,0.3728742266920011,6
order status,0.048920345456014674,0,0.5590896623544535,2
get food,0.1723222990214446,0.10232557045396928,0.18557786039898136,6
find option,0,0.22070651538017372,0,1
uber eats,0.09867819705821387,0.1350359895712637,0.25281321504764565,109
uber cash,0.02825401257038186,0.04192530894012457,0.4374814838317668,5
do anything,0.10208721063559373,0.0744841229112559,0.362337705242228,18
whole point,0,0.18136739543977487,0,2
ur food,0.07614939498671851,0.05453022596266873,0.34361773743546964,31
customer experience,0.24929476236790882,0.10647844078193937,0,3
something go,0.26564370084424077,0.01328218504221204,0,3
screen shot,0,0,1.0621166466703835,1
delivery fee,0.01867913245440273,0.046282868399308376,0.4102083985696721,23
ur food,0.07450637634214811,0.05335366798784926,0.33620375405044034,31
great service,0,0.3836095505426113,0,1
live person,0.10837832531097845,0,0,2
be good,0,0.5708247282704711,0,4
uber eats,0.09186108438102811,0.12570712479843532,0.23534779487742638,109
ad be,0.04091761433102769,0,0.8183522866205537,5
last time,0.0987052032059555,0.004254534620946357,0.34036276967570855,6
say sorry,0.1249067429305968,0.05620803431876856,0,2
be closed,0.07471894773159979,0.014943789546319955,0,4
uber cash,0.02557157127920163,0.037944912188819596,0.3959469091077751,5
look good,0,0.3953593610178028,0,1
ur food,0.07042243766967377,0.050429178585582185,0.3177753244259422,31
subscription service,0,0.40432154505951756,0,1
hour late,0.09795617348186862,0.0007981878484719358,0.3591845138531454,8
delivery time,0.11680039468167557,0.028495829201747536,0.3185465310948181,6
credit card,0.040607647554992535,0.05809699823404703,0.2971291285961059,16
ur food,0.06796518704933989,0.04866955289719576,0.30668718776223924,31
take money,0,0.0473322916569853,0,1
uber eats,0.08449058733642913,0.1156209822490093,0.21646460578505805,109
be able,0.01958187094542602,0.25200668975895185,0,8
full amount,0,0.2138517234749678,0,7
wrong address,0.2743726618012602,0.016014170886925354,0,10
provide refund,0.1109026690469869,0,0,1
delivery time,0.11202234120840475,0.02733012598591326,0.3055154761617927,6
delivery time,0.11177431147780886,0.027269614094157433,0.3048390314416783,6
available item,0,0.13090434875378187,0,1
be acceptable,0,0,0.8978517493909168,1
want full,0,0.15626985909090518,0,1
