extracted_features,meaningful,weight
hold anyone,,0.8826332493419211
miss item,,20.793260343964384
extra priority,,1.1897852096544028
bank account,,2.344034182241208
whole process,,1.2697286236336995
credit card,,8.974508264556704
shortage driver,,1.036208390327496
double cost,,1.8701512059121568
year old,,0.7548846709786234
total tax,,0.7720430683586987
dollar coupon,,1.6590972339699388
resolve issue,,5.142073528754572
only thing,,4.236641946734091
due fact,,0.6932770625322775
charge cancellation,,1.7547005267145241
loyal customer,,5.5481396848886755
past few,,1.6762748661394664
put hold,,2.004022489584439
save money,,7.888337291989819
time frame,,1.860085899533872
wasted time,,1.9023443904510904
time stamp,,0.8668184326362026
credit inconvenience,,1.126679238479269
take responsibility,,1.090992004967399
house street,,1.2482883407429972
bad part,,3.4274793958051566
past month,,1.4342753815935443
go bed,,2.3484299049617006
solve issue,,2.059559015347424
fee monthly,,1.4455269040917673
bad luck,,1.1069722808388764
one accept,,0.9459439133123322
mark deliver,,4.326654674124244
work fine,,3.76971175971621
suppose arrive,,2.083745433839624
couple year,,1.2780885972822973
make sure,,6.5314164098029295
pay priority,,3.238796437546496
let know,,3.9330828025291487
other apps,,4.431838484653086
hit miss,,1.9052658143406611
read review,,1.5694361439055033
countless time,,1.5796253437364118
grocer app,,1.447243559197592
customer satisfaction,,1.3726974628746476
last month,,3.408475701765856
offer discount,,1.7585348433931691
ask question,,1.3614494988573005
fee tax,,3.7932069029592363
check bank,,1.0811871190339228
business day,,5.537358072890388
hour half,,6.689889343845404
make impossible,,1.828227513496405
kid meal,,0.851084636116748
store buy,,0.9927904000658643
main issue,,1.4246578141793307
terrible experience,,4.9040237421111765
get rid,,1.3303315414521024
get ahold,,1.8296242298190046
get refunded,,1.2696783351874819
get ta,,1.3615962533914028
few year,,2.416942379271198
car drive,,1.4030407332951724
want cook,,2.0576179233030842
tax fee,,3.887801396676981
half pizza,,1.0358041450302915
card information,,1.1500955250719074
eat dinner,,0.98652365218704
system allow,,0.6110858569141001
attempt contact,,2.051945187470192
send email,,4.471331538182191
entire amount,,0.8782718802754239
regard issue,,0.979344672039408
dispute charge,,1.097768273589781
uber cash,,6.862137426138183
help button,,1.3966130451219647
adjust tip,,0.996693325335618
time energy,,1.052259909387872
base price,,0.8476651531659367
escalate issue,,1.5710449235042172
wrong address,,7.669249910446185
pay extra,,5.319033081667844
whole point,,1.0747010388557587
report issue,,4.016753173097271
actual price,,0.9297236642333961
please update,,1.3836166939694365
restart app,,1.3487773236416247
multiple attempt,,1.112408079510227
close chat,,2.8258200407528777
contact support,,9.727808429942232
ridiculous amount,,1.2028520773028937
monthly fee,,1.0053033105424145
refund adjustment,,0.8826728346880663
steal money,,7.440069745086441
late night,,1.3828672706616731
talk someone,,2.196697380928129
money spent,,1.0716879719015289
bad experience,,8.695024006570957
delete account,,5.30691212465125
send message,,2.798061164470303
let choose,,0.9773747572534607
pick own,,2.945056390250735
go grab,,2.0720418581696904
customer service,,94.17116187007302
wait hr,,1.8008555123643715
option choose,,1.2888025511826868
total waste,,1.3596614824224762
service rep,,6.5612996065745115
discount offer,,0.9776722153959516
wait hour,,18.296333316166837
past year,,1.2732137784441275
speak agent,,0.9210109532272818
cheap other,,1.3124237217105934
everyone know,,1.3345518730501058
take accountability,,1.395365620643572
card apply,,0.3255270607612344
awful experience,,1.5162202638163251
willing pay,,0.8236472977766779
house number,,0.9972141105541947
amount gift,,0.9388839653457137
arrival time,,3.847239285516184
percent time,,0.7609429605941564
few month,,1.8446402741375234
menu option,,1.1476797017682614
same thing,,6.752137052071641
spend more,,2.7703370080061482
do exist,,1.7273781336154692
do match,,0.918024748120894
get touch,,2.35769712927491
hope review,,1.1445720091947804
offer coupon,,1.0410360580016575
add payment,,1.2483601883190412
app crash,,1.491805246948404
run business,,1.2060611085544237
dollar worth,,1.171588915429946
whole meal,,1.1128075059003428
company policy,,1.6276826384790495
card buy,,1.1888661095983784
rep offer,,1.4952661949019521
entire meal,,0.8452575217565951
check email,,2.3822722878214666
remove tip,,0.8709127451582153
download app,,3.4553914177621303
