feature,dissatisfaction,satisfaction,neutral,frequency
ur food,0.0679651870493398,0.0486695528971957,0.3066871877622392,31
take money,0.0,0.0473322916569853,0.0,1
uber eats,0.0844905873364291,0.1156209822490093,0.216464605785058,109
be able,0.019581870945426,0.2520066897589518,0.0,8
full amount,0.0,0.2138517234749678,0.0,7
wrong address,0.2743726618012602,0.0160141708869253,0.0,10
provide refund,0.1109026690469869,0.0,0.0,1
delivery time,0.1120223412084047,0.0273301259859132,0.3055154761617927,6
delivery time,0.1117743114778088,0.0272696140941574,0.3048390314416783,6
available item,0.0,0.1309043487537818,0.0,1
be acceptable,0.0,0.0,0.8978517493909168,1
want full,0.0,0.1562698590909051,0.0,1
give coupon,0.0,0.0,0.8890253816522892,1
much money,0.0,0.3658269366471253,0.0,1
first thing,0.0204209736512373,0.1321357117573117,0.0,5
lunch hour,0.2018172527139894,0.0,0.4324655412210734,2
re order,0.0413081259941358,0.0306406428197444,0.3813057778207833,9
phone call,0.2396132689154155,0.0,0.0,2
anyone use,0.5086549358906327,0.0,0.0,1
customer service,0.1396137663298574,0.0502098630022586,0.257644018456563,115
local restaurant,0.0,0.1579157951654378,0.0,2
same price,0.0245174268962171,0.0350248955660245,0.0,3
phone call,0.2345757811076043,0.0,0.0,2
credit card,0.0355622646142427,0.0508786139776855,0.2602116924262694,16
customer service,0.1370747969736015,0.0492967631920053,0.2529585903295234,115
timely manner,0.0098137554735542,0.148373575063562,0.1373925774541155,6
be ready,0.0,0.3168279713103648,0.0,2
ur food,0.058356914928297,0.0417891141233531,0.2633306682853232,31
ur food,0.0580286212475675,0.0415540245524455,0.2618492706746614,31
exact same,0.0,0.0441994042763851,0.0,3
uber eats,0.07191357265311,0.0984099906191927,0.1842423356931596,109
other apps,0.0576162624169922,0.0066718583898276,0.0,5
many time,0.0,0.30299285836938,0.0,7
suspicious activity,0.2608482943599691,0.0,0.0,2
missing item,0.1112061186187223,0.0093120651020536,0.0398073011023793,20
additional charge,0.0,0.0,0.7953054040739248,2
delivery person,0.1578780095238657,0.0416622525570973,0.1315650079365547,6
do anything,0.0738099658083002,0.0538526866500965,0.2619733996891301,18
make money,0.0,0.0,0.7853059804930412,2
be convenient,0.0780835256341351,0.0,0.3904176281706756,2
free grubhub,0.058136062630599,0.155029500348264,0.0,2
first time,0.0022965945508094,0.1278180362638073,0.0,16
be convenient,0.0772139527728615,0.0,0.3860697638643077,2
delivery person,0.1536886517792928,0.0405567275955602,0.128073876482744,6
wrong address,0.2247936211222047,0.0131204160039431,0.0,10
go get,0.0,0.0152997647489478,0.5058520041395161,3
full amount,0.0,0.1732515957578078,0.0,7
different place,0.0262930512522675,0.0,0.566311874287429,4
dash pas,0.0696644130946532,0.0757770488090799,0.1326756467601909,17
driver assign,0.0,0.0,0.750317947599894,1
pick food,0.2250701195431034,0.0,0.0,1
delivery fee,0.0133293990020462,0.0330273807608322,0.2927240562094083,23
uber eats,0.0666740569990314,0.0912399854679511,0.1708187138872339,109
contact support,0.0199957261091881,0.0784632291089786,0.329072520509478,9
extra money,0.0675107107454208,0.1109304622118904,0.0,2
delivery service,0.0941620701275768,0.1239947056590101,0.0,9
whole thing,0.0,0.1350123495387248,0.0,1
customer service,0.120720017373914,0.0434150277104748,0.2227773893791859,115
same message,0.0731957686030192,0.0,0.0,1
be nice,0.0,0.3216544033670667,0.0,6
be able,0.0150000221197775,0.1930411006819117,0.0,8
same thing,0.0112145217707906,0.0717729393330604,0.3588646966653022,4
contact support,0.0193513721942966,0.0759347843515677,0.3184682961009393,9
big deal,0.0626669421173819,0.0,0.2379757298609132,3
multiple time,0.0575394980405765,0.0145907403234915,0.1945432043132212,11
ad be,0.0284395178347743,0.0,0.568790356695487,5
great app,0.0473673891795624,0.0,0.0,1
be deliver,0.0133946552232272,0.0553739257313641,0.2827604719400556,10
have delete,0.0,0.0,0.7034232159947487,2
dash pas,0.0651302801709766,0.0708450728316541,0.1240404054451151,17
most restaurant,0.0,0.2507203526858403,0.0,1
get further,0.0788579373949656,0.0,0.0,1
more dollar,0.0,0.1354868901615649,0.0,1
be super,0.0,0.1712123659710339,0.0,1
full amount,0.0,0.1561885802137399,0.0,7
wrong order,0.2016461480853301,0.0,0.0,2
say help,0.0,0.1684440991304157,0.3368881982608315,2
customer service,0.11083672759286,0.0398606602654628,0.204538711620538,115
hour wait,0.0125879177537418,0.0587436161841286,0.1678389033832247,4
order something,0.0,0.1565379108911289,0.0,3
company policy,0.0,0.0,0.6691131863657005,1
customer service,0.1101056271238827,0.0395977316492295,0.2031895347615901,115
delivery guy,0.100039472272957,0.0,0.3334649075765236,2
long time,0.067661768157171,0.0499144191323392,0.0,3
one call,0.0,0.0,0.661980860226104,1
dollar credit,0.0,0.0,0.6618655113849718,1
same thing,0.0103355358539092,0.0661474294650191,0.3307371473250956,4
minute wait,0.0,0.0,0.6594718244964465,1
be available,0.0,0.0988668898984477,0.0,1
credit towards,0.0341737256652848,0.0434357632645215,0.0,2
buy food,0.0,0.0,0.6461490554294367,1
pay more,0.0,0.0643131252131075,0.0,1
missing item,0.0895512089628804,0.0074987482540331,0.0320557176488607,20
only thing,0.0266751390750921,0.038337573472254,0.1067005563003687,6
store close,0.0239746688408969,0.0,0.3196622512119591,2
do anything,0.0599255951496766,0.0437224738228123,0.2126936615921021,18
refund request,0.0,0.0,0.6361556848378658,2
company do,0.0634030099338823,0.0467974596225278,0.2113433664462743,3
second time,0.0316945650791394,0.0,0.4225942010551931,6
wrong address,0.1843357203909668,0.0107590300998853,0.0,10
take advantage,0.0243535656465821,0.156558635852146,0.313117271704292,4
real person,0.0,0.0780670578979049,0.0,4
uber eats,0.0559197750065081,0.0765233088941777,0.1432662789308586,109
service fee,0.0219704886613299,0.0999079059129617,0.0,3
customer service,0.1029511202760925,0.0370247274382583,0.1899865681573904,115
